apartment_id,apartment,building,walking_min,transit_min,bicycling_min,amenity_score,pet_score,price_score,value_bonus,total_score
latitude,Latitude Apartments,Siebel Center for CS,10,10,3,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Illini Union,14,9,4,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,CRCE,31,9,8,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,ARC,31,9,8,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Main Library,19,9,6,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Wohlers Hall,22,9,6,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Everitt Lab,11,7,4,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Loomis Lab,15,10,6,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Lincoln Hall,16,10,6,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
latitude,Latitude Apartments,Krannert Art Center,26,14,7,0.9,0.0,0.7803443381840985,0.0234103301455229,0.674
tower_at_third,The Tower at Third,Grainger Engineering Library,14,10,4,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Siebel Center for CS,20,11,6,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Illini Union,12,8,3,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,CRCE,15,7,4,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,ARC,15,7,4,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Main Library,13,7,3,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Wohlers Hall,15,9,4,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
