address,street_address,building_name,price,beds,baths,sqft,home_type,status,rent_zestimate,city,state,zipcode,lat,lng,days_on_zillow,detail_url
"504 E Clark, 504 E Clark St #2772c7a0c, Champaign, IL 61820",504 E Clark St #2772c7a0c,,1039,0,1.0,380.0,APARTMENT,FOR_RENT,1105.0,Champaign,IL,61820.0,40.115654,-88.23162,208.0,https://www.zillow.com/apartments/champaign-il/504-e-clark/CkdBQj/
"208 N Harvey, 208 N Harvey St #10, Urbana, IL 61801",208 N Harvey St #10,,1395,2,1.0,900.0,APARTMENT,FOR_RENT,1213.0,Urbana,IL,61801.0,40.114223,-88.2221,23.0,https://www.zillow.com/apartments/urbana-il/208-n-harvey/Cp4T49/
"905 W Springfield Ave, 905 Springfield Ave #11, Urbana, IL 61801",905 Springfield Ave #11,,1395,2,1.0,1000.0,APARTMENT,FOR_RENT,1326.0,Urbana,IL,61801.0,40.112522,-88.21999,23.0,https://www.zillow.com/apartments/urbana-il/905-w-springfield-ave/Cp3SVY/
"507 S Fourth, 507 S 4th St #375bd60b4, Champaign, IL 61820",507 S 4th St #375bd60b4,,1439,1,1.0,558.0,APARTMENT,FOR_RENT,1328.0,Champaign,IL,61820.0,40.11184,-88.23395,208.0,https://www.zillow.com/apartments/champaign-il/507-s-fourth/Cnqmmj/
"105 N Coler Ave, Urbana, IL 61801",105 N Coler Ave,,2500,3,2.0,1890.0,SINGLE_FAMILY,FOR_RENT,2200.0,Urbana,IL,61801.0,40.112938,-88.2163,191.0,https://www.zillow.com/homedetails/105-N-Coler-Ave-Urbana-IL-61801/3236383_zpid/
"512 E Stoughton St, 512 E Stoughton St APT 102, Champaign, IL 61820",512 E Stoughton St APT 102,,1450,2,1.0,800.0,APARTMENT,FOR_RENT,1370.0,Champaign,IL,61820.0,40.113758,-88.230675,23.0,https://www.zillow.com/apartments/champaign-il/512-e-stoughton-st/Cp4T7w/
"817 W Hill St, Urbana, IL 61801",817 W Hill St,,1290,2,1.0,900.0,SINGLE_FAMILY,FOR_RENT,1319.0,Urbana,IL,61801.0,40.11887,-88.21875,341.0,https://www.zillow.com/homedetails/817-W-Hill-St-Urbana-IL-61801/3236236_zpid/
"610 W Elm St, 610 W Elm St APT 2, Urbana, IL 61801",610 W Elm St APT 2,,1975,4,2.0,1000.0,APARTMENT,FOR_RENT,2338.0,Urbana,IL,61801.0,40.11169,-88.215675,23.0,https://www.zillow.com/apartments/urbana-il/610-w-elm-st/CpBsFD/
"402 S Fifth, 402 S 5th St #F348cd958, Champaign, IL 61820",402 S 5th St #F348cd958,,759,3,3.0,964.0,APARTMENT,FOR_RENT,961.0,Champaign,IL,61820.0,40.113197,-88.23185,208.0,https://www.zillow.com/apartments/champaign-il/402-s-fifth/Cnqmmh/
"712 W Illinois, 712 W Illinois St #2, Urbana, IL 61801",712 W Illinois St #2,,1095,2,1.0,,APARTMENT,FOR_RENT,1023.0,Urbana,IL,61801.0,40.109303,-88.21744,319.0,https://www.zillow.com/apartments/urbana-il/712-w-illinois/CmGN2t/
"311 E Daniel St, 311 E Daniel St, Champaign, IL 61820",311 E Daniel St #11209871,,450,0,0.0,,APARTMENT,FOR_RENT,1638.0,Champaign,IL,61820.0,40.107666,-88.233986,37.0,https://www.zillow.com/apartments/champaign-il/311-e-daniel-st/5bnyMy/
