,icon,latitude,yugo,octave,armory_75,illini_manor,gregory,seven07,tower_at_third,here,hub,dean
amenity_score,0.8125,0.9,0.9,0.9,0.525,0.275,0.4375,0.9,0.475,0.9,0.9,0.9
pet_score,1.0,0.0,0.587,0.6,0.0,0.0,0.0,0.307,0.0,0.0,0.6,0.0
price_score,0.7779231575113172,0.7803443381840985,0.5945351004677244,0.4864760945963055,0.8927461603645975,1.0,0.7799227799227799,0.2650695641277371,0.6752895752895753,0.26545034690541813,0.03164556962025317,0.16549030507746124
value_bonus,0.04375817761001159,0.02341033014552295,0.017836053014031728,0.014594282837889161,0.12721632785195514,0.2,0.1316119691119691,0.00795208692383211,0.10635810810810811,0.007963510407162542,0.0009493670886075948,0.004964709152323835
total_score,0.741,0.674,0.658,0.616,0.58,0.53,0.5,0.498,0.471,0.467,0.433,0.427
